Material,Material Description,Base Unit of Measure,Material Group,Annual Qty,Moving Avg Price,Unrestricted Stock
41011983,VLV GATE WCB 250NB CL150 FLGD IS 14846,NOS,Valves and fittings,420,32200,76
41012094,VLV BALL SS316 25NB CL300 THD,NOS,Valves and fittings,300,5500,68
41012242,VLV BALL SS316 80NB CL300 THD,NOS,Valves and fittings,620,11300,79
41012353,ELBOW SMLS CS 90 50NB SCH40,NOS,Valves and fittings,700,1160,163
41012612,FLANGE CS 80NB CL150 WNRF IS 6392,NOS,Valves and fittings,1180,2250,237
41012871,BLT HEX MS M12X50 8.8 IS 1367,NOS,Fasteners,21600,41,3696
41013019,BLT HEX MS M24X120 8.8 IS 1367,NOS,Fasteners,38400,85,6982
41013130,NUT HEX MS M6 8.8 IS 1363,NOS,Fasteners,11000,3,2663
41013278,NUT HEX MS M14 8.8 IS 1363,NOS,Fasteners,26200,19,5793
41013426,NUT HEX MS M27 8.8 IS 1363,NOS,Fasteners,41400,35,7219
41013537,CBL XLPE ARMD AL 3CX35 SQMM 1.1KV IS 7098,MTR,Electrical,3700,255,650
41013685,CBL XLPE ARMD AL 3CX150 SQMM 1.1KV IS 7098,MTR,Electrical,8900,835,2188
41013833,CBL XLPE ARMD AL 4CX16 SQMM 1.1KV IS 7098,MTR,Electrical,14100,1415,4035
41013944,CONTACTOR 3P 18A 415V,NOS,Electrical,560,1820,110
41014092,CONTACTOR 3P 65A 415V,NOS,Electrical,1200,3500,169
41014203,GSKT SWG SS316 GRAPHITE 40NB CL150,NOS,Gaskets and seals,1020,265,288
41014351,GSKT SWG SS316 GRAPHITE 125NB CL150,NOS,Gaskets and seals,2540,845,468
41014462,SEAL OIL 25X40X7 NBR,NOS,Gaskets and seals,460,110,114
41014610,SEAL OIL 50X72X8 NBR,NOS,Gaskets and seals,1300,246,360
41014721,MOT IND 3PH 1HP 415V B3,NOS,Motors and drives,40,9800,11
41014869,MOT IND 3PH 7.5HP 415V B3,NOS,Motors and drives,144,67800,42
41015017,MOT IND 3PH 40HP 415V B3,NOS,Motors and drives,248,125800,61
41015128,GAUGE PRESSURE DIAL 100MM 0-6BAR SS316,NOS,Instruments,270,1790,55
41015276,GAUGE PRESSURE DIAL 100MM 0-60BAR SS316,NOS,Instruments,630,2550,104
41015387,ANG MS 40X40X5 IS 2062,KG,Structural steel,36000,68,7147
41015535,ANG MS 100X100X10 IS 2062,KG,Structural steel,92000,68,18339
41015646,OIL LUBE VG68 210,LTR,Lubricants,5300,218,838
41015794,OIL LUBE VG460 210,LTR,Lubricants,12900,306,2701
41015905,ELCT WELD E6013 6MM,KG,Welding,5400,106,790
41016016,WIRE MIG ER70S-6 1.6MM,KG,Welding,3600,118,1001
41016127,GLOVES CHROME LEATHER IS 6994,NOS,Safety and PPE,18800,182,3558
