Product No.,Product Description,Base UOM,Product Group,Annual Consumption,Valuation Price,Stock On Hand
1024105197,"BOLT,FOUNDATION,MILD,STEEL,M24X600",EA,Fasteners,6400,385,2334
1024105563,"CABLE,XLPE,ARMOURED,ALUMINIUM,3CX240,SQMM,1.1KV,IS,7098,POLYCAB",M,Electrical,34600,1180,8912
1024105746,"CABLE,XLPE,ARMOURED,ALUMINIUM,3CX120,SQMM,1.1KV,IS,7098",M,Electrical,28000,640,8710
1024105990,"CABLE,XLPE,UNARMOURED,COPPER,4CX25,SQMM,1.1KV",M,Electrical,5400,920,2140
1024106295,"CONTACTOR,3P,32A,415V,SIEMENS",EA,Electrical,1650,2840,627
1024106417,"RELAY,THERMAL,OVERLOAD,18-25A",EA,Electrical,840,1960,188
1024106783,"GASKET,SPIRAL,WOUND,SS316,GRAPHITE,100NB,CL150",EA,Gaskets and seals,2600,640,595
1024107088,"GASKET,CAF,3MM,100NB,CL150",EA,Gaskets and seals,6400,180,2374
1024107271,"SEAL,OIL,45X65X10,NBR",EA,Gaskets and seals,2100,240,738
1024107576,"MOTOR,INDUCTION,3PH,10HP,415V,B3",EA,Motors and drives,240,42000,74
1024107759,"MOTOR,INDUCTION,3PH,25HP,415V,B3",EA,Motors and drives,120,86000,53
1024108064,"PUMP,CENTRIFUGAL,50X32,15KW",EA,Motors and drives,48,124000,9
1024108369,"PRESSURE,GAUGE,DIAL,100MM,0-10BAR,SS316",EA,Instruments,980,2400,250
1024108613,"TRANSMITTER,PRESSURE,4-20MA,HART,SS316",EA,Instruments,260,46000,50
1024108674,"THERMOCOUPLE,K,6MM,500MM,SS316",EA,Instruments,640,3800,213
1024108979,"TEMPERATURE,GAUGE,DIAL,100MM,0-100C,SS304",EA,Instruments,720,2100,170
1024109101,"ANGLE,MILD,STEEL,50X50X6,IS,2062",KGS,Structural steel,184000,68,70977
1024109345,"PLATE,MILD,STEEL,10MM,IS,2062",KGS,Structural steel,96000,72,35753
1024109467,"CHANNEL,MILD,STEEL,100X50,IS,2062",KGS,Structural steel,74000,66,31507
1024109772,"HELMET,SAFETY,IS,2925",EA,Safety and PPE,22000,340,4555
1024110138,"GOGGLES,SAFETY,CLEAR,IS,5983",EA,Safety and PPE,14000,180,3515
1024110504,"OIL,LUBRICATING,VG46,210",L,Lubricants,32000,218,7418
1024110687,"OIL,GEAR,VG320,210",L,Lubricants,14000,264,5300
1024110992,"OIL,TRANSFORMER,IS,335",L,Lubricants,64000,186,26137
1024111175,"ELECTRODE,WELDING,E6013,3.15MM",KGS,Welding,18000,96,6289
1024111541,"ELECTRODE,WELDING,E308L,3.15MM",KGS,Welding,3100,420,949
1024111724,"BALL,BEARING,DEEP,GROOVE,6205,ZZ,NBC",EA,Bearings,880,405,164
1024112029,"SHOES,SAFETY,LEATHER,STEEL,TOE,IS,15298",EA,Safety and PPE,16000,1310,3543
1024112212,"VALVE,GATE,WCB,100NB,CL150,FLANGED,RISING,STEM,IS,14846",EA,Valves and fittings,310,19100,103
1024112334,"CABLE,XLPE,ARMOURED,ALUMINIUM,3CX240,SQMM,1.1KV,FRLS,IS,7098",M,Electrical,8200,1290,3586
1024112395,"HOOTER,ELECTRONIC,230V,IP65",EA,Electrical,180,2400,63
1024112761,"LAMP,LED,12W,B22,6500K",EA,Electrical,21000,145,4847
1024112944,"SLUICE,GATE,CAST,IRON,300NB,MANUAL",EA,Valves and fittings,31,38000,13
1024113310,"PACKING,STUFFING,BOX,GRAPHITE,10MM",KGS,Gaskets and seals,280,2100,72
1024113615,"WELLINGTON,SAFETY,PVC,STEEL,TOE,IS,5852",EA,Safety and PPE,3100,720,758
1024113798,"OIL,TRANSFORMER,INHIBITED,IS,12463",L,Lubricants,42000,118,17181
1024114103,"BALL,BEARING,DEEP,GROOVE,6201,2RS",EA,Bearings,250,345,94
1024114347,"BALL,BEARING,DEEP,GROOVE,6207,2RS",EA,Bearings,530,685,167
1024114591,"BALL,BEARING,DEEP,GROOVE,6304,2RS",EA,Bearings,810,1025,268
1024115018,"PIPE,SEAMLESS,CARBON,STEEL,32NB,SCH40,IS,1239",M,Pipes and tubes,3120,1200,1085
1024115262,"PIPE,SEAMLESS,CARBON,STEEL,125NB,SCH40,IS,1239",M,Pipes and tubes,5680,2560,1776
1024115445,"TUBE,SEAMLESS,SS304,6MM,OD",M,Pipes and tubes,400,320,110
1024115689,"TUBE,SEAMLESS,SS304,20MM,OD",M,Pipes and tubes,1280,900,431
1024116116,"VALVE,GATE,WCB,65NB,CL150,FLANGED,IS,14846",EA,Valves and fittings,255,17800,104
1024116543,"VALVE,BALL,SS316,32NB,CL300,THREADED",EA,Valves and fittings,380,6950,166
1024116970,"ELBOW,SEAMLESS,CARBON,STEEL,90,80NB,SCH40",EA,Valves and fittings,890,1620,258
1024117153,"FLANGE,CARBON,STEEL,25NB,CL150,WNRF,IS,6392",EA,Valves and fittings,460,420,119
1024117397,"FLANGE,CARBON,STEEL,150NB,CL150,WNRF,IS,6392",EA,Valves and fittings,1420,2860,563
1024117580,"BOLT,HEXAGONAL,MILD,STEEL,M6X25,8.8,IS,1367",EA,Fasteners,9000,8,2558
1024117824,"BOLT,HEXAGONAL,MILD,STEEL,M14X60,8.8,IS,1367",EA,Fasteners,25800,52,7191
1024118068,"BOLT,HEXAGONAL,MILD,STEEL,M27X130,8.8,IS,1367",EA,Fasteners,42600,96,10499
1024118251,"NUT,HEXAGONAL,MILD,STEEL,M8,8.8,IS,1363",EA,Fasteners,14800,7,4736
1024118495,"NUT,HEXAGONAL,MILD,STEEL,M18,8.8,IS,1363",EA,Fasteners,30000,23,7974
1024118739,"NUT,HEXAGONAL,MILD,STEEL,M30,8.8,IS,1363",EA,Fasteners,45200,39,18668
1024118922,"CABLE,XLPE,ARMOURED,ALUMINIUM,3CX50,SQMM,1.1KV,IS,7098",M,Electrical,5000,400,2081
1024119166,"CABLE,XLPE,ARMOURED,ALUMINIUM,3CX185,SQMM,1.1KV,IS,7098",M,Electrical,10200,980,2490
1024119593,"CONTACTOR,3P,25A,415V",EA,Electrical,720,2240,202
1024119837,"CONTACTOR,3P,80A,415V",EA,Electrical,1360,3920,301
1024120020,"GASKET,SPIRAL,WOUND,SS316,GRAPHITE,50NB,CL150",EA,Gaskets and seals,1400,410,555
1024120264,"GASKET,SPIRAL,WOUND,SS316,GRAPHITE,200NB,CL150",EA,Gaskets and seals,2920,990,992
1024120447,"SEAL,OIL,30X47X7,NBR",EA,Gaskets and seals,670,144,249
1024120691,"SEAL,OIL,55X80X10,NBR",EA,Gaskets and seals,1510,280,432
1024120874,"MOTOR,INDUCTION,3PH,2HP,415V,B3",EA,Motors and drives,66,24300,18
1024121118,"MOTOR,INDUCTION,3PH,15HP,415V,B3",EA,Motors and drives,170,82300,56
1024121362,"MOTOR,INDUCTION,3PH,50HP,415V,B3",EA,Motors and drives,274,140300,72
1024121545,"PRESSURE,GAUGE,DIAL,100MM,0-16BAR,SS316",EA,Instruments,360,1980,116
1024121789,"PRESSURE,GAUGE,DIAL,100MM,0-100BAR,SS316",EA,Instruments,720,2740,255
1024121972,"ANGLE,MILD,STEEL,65X65X6,IS,2062",KGS,Structural steel,50000,68,19430
1024122216,"ANGLE,MILD,STEEL,130X130X10,IS,2062",KGS,Structural steel,106000,68,43952
1024122399,"OIL,LUBRICATING,VG100,210",L,Lubricants,7200,240,2042
1024123192,"GLOVES,ELECTRICAL,11KV,IS,6994",EA,Safety and PPE,24000,228,10026
