Item Code,Item Name,Unit,Group,Annual Requirement,Rate,Balance Stock
CIL/MM/15025,BRG/BALL/DG/6203/2RS,NO,Bearings,390,515,174
CIL/MM/15093,BRG/BALL/DG/6210/2RS,NO,Bearings,670,855,273
CIL/MM/15161,BRG/BALL/DG/6306/2RS,NO,Bearings,950,1195,388
CIL/MM/15212,PIP/SMLS/CS/20NB/SCH40/IS/1239,MTS,Pipes and tubes,1840,520,643
CIL/MM/15280,PIP/SMLS/CS/65NB/SCH40/IS/1239,MTS,Pipes and tubes,4400,1880,2234
CIL/MM/15348,PIP/SMLS/CS/300NB/SCH40/IS/1239,MTS,Pipes and tubes,6960,3240,2735
CIL/MM/15399,TUBE/SMLS/SS304/10MM/OD,MTS,Pipes and tubes,840,610,511
CIL/MM/15467,TUBE/SMLS/SS304/38MM/OD,MTS,Pipes and tubes,1720,1190,655
CIL/MM/15518,VLV/GATE/WCB/40NB/CL150/FLGD/IS/14846,NO,Valves and fittings,145,8200,91
CIL/MM/15586,VLV/GATE/WCB/200NB/CL150/FLGD/IS/14846,NO,Valves and fittings,365,27400,121
CIL/MM/15637,VLV/BALL/SS316/20NB/CL300/THD,NO,Valves and fittings,220,4050,60
CIL/MM/15705,VLV/BALL/SS316/65NB/CL300/THD,NO,Valves and fittings,540,9850,239
CIL/MM/15756,ELBOW/SMLS/CS/90/40NB/SCH40,NO,Valves and fittings,510,700,249
CIL/MM/15824,ELBOW/SMLS/CS/90/200NB/SCH40,NO,Valves and fittings,1270,2540,583
CIL/MM/15875,FLANGE/CS/50NB/CL150/WNRF/IS/6392,NO,Valves and fittings,940,1640,417
CIL/MM/15943,FLANGE/CS/250NB/CL150/WNRF/IS/6392,NO,Valves and fittings,1900,4080,676
CIL/MM/15994,BLT/HEX/MS/M10X40/8.8/IS/1367,NO,Fasteners,17400,30,6805
CIL/MM/16062,BLT/HEX/MS/M22X110/8.8/IS/1367,NO,Fasteners,34200,74,15663
CIL/MM/16181,NUT/HEX/MS/M12/8.8/IS/1363,NO,Fasteners,22400,15,11874
CIL/MM/16249,NUT/HEX/MS/M24/8.8/IS/1363,NO,Fasteners,37600,31,10337
CIL/MM/16300,CBL/XLPE/ARMD/AL/3CX16/SQMM/1.1KV/IS/7098,MTS,Electrical,2400,110,770
CIL/MM/16368,CBL/XLPE/ARMD/AL/3CX95/SQMM/1.1KV/IS/7098,MTS,Electrical,7600,690,3578
CIL/MM/16436,CBL/XLPE/ARMD/AL/4CX10/SQMM/1.1KV/IS/7098,MTS,Electrical,12800,1270,6787
CIL/MM/16487,CONTACTOR/3P/12A/415V,NO,Electrical,400,1400,196
CIL/MM/16555,CONTACTOR/3P/50A/415V,NO,Electrical,1040,3080,637
CIL/MM/16606,GSKT/SWG/SS316/GRAPHITE/25NB/CL150,NO,Gaskets and seals,640,120,373
CIL/MM/16674,GSKT/SWG/SS316/GRAPHITE/80NB/CL150,NO,Gaskets and seals,2160,700,1186
CIL/MM/16793,SEAL/OIL/40X55X8/NBR,NO,Gaskets and seals,1090,212,614
CIL/MM/16912,MOT/IND/3PH/5HP/415V/B3,NO,Motors and drives,118,53300,45
CIL/MM/16980,MOT/IND/3PH/30HP/415V/B3,NO,Motors and drives,222,111300,128
CIL/MM/17031,GAUGE/PRESSURE/DIAL/100MM/0-4BAR/SS316,NO,Instruments,180,1600,103
CIL/MM/17099,GAUGE/PRESSURE/DIAL/100MM/0-40BAR/SS316,NO,Instruments,540,2360,179
CIL/MM/17150,ANG/MS/25X25X3/IS/2062,KGS,Structural steel,22000,68,11271
CIL/MM/17218,ANG/MS/90X90X8/IS/2062,KGS,Structural steel,78000,68,30661
CIL/MM/17269,OIL/LUBE/VG32/210,LTR,Lubricants,3400,196,1817
CIL/MM/17337,OIL/LUBE/VG220/210,LTR,Lubricants,11000,284,6303
CIL/MM/17388,ELCT/WELD/E6013/5MM,KGS,Welding,4000,97,2215
CIL/MM/17439,WIRE/MIG/ER70S-6/1.0MM,KGS,Welding,2700,111,848
CIL/MM/17490,GLOVES/NITRILE/COATED/IS/6994,NO,Safety and PPE,13600,136,8260
