ITEM_NUMBER,ITEM_DESCRIPTION,PRIMARY_UOM,CATEGORY,ANNUAL_QTY,ITEM_COST,ONHAND_QTY
SL-MRO-41972,BOLT HEXAGONAL MILD STEEL M20X100 8.8 IS 1367,PCS,Fasteners,128000,46,57885
SL-MRO-42041,BOLT HEXAGONAL MILD STEEL M16X75 8.8 IS 1367,PCS,Fasteners,142000,31,76394
SL-MRO-42133,NUT HEXAGONAL MILD STEEL M20 8.8 IS 1363,PCS,Fasteners,131000,14,89947
SL-MRO-42179,WASHER SPRING MILD STEEL M20 IS 3063,PCS,Fasteners,118000,6,49460
SL-MRO-42294,BOLT FOUNDATION MILD STEEL M24X600,PCS,Fasteners,9200,385,4655
SL-MRO-42363,STUD BOLT SS304 M16X90,PCS,Fasteners,21000,128,13528
SL-MRO-42432,CABLE XLPE ARMOURED ALUMINIUM 3CX240 SQMM 1.1KV IS 7098,RMT,Electrical,18200,1180,8292
SL-MRO-42501,CABLE XLPE ARMOURED ALUMINIUM 3CX120 SQMM 1.1KV IS 7098,RMT,Electrical,16500,640,9951
SL-MRO-42616,CABLE COPPER FLEXIBLE 2CX2.5 SQMM 1.1KV,RMT,Electrical,38000,86,26566
SL-MRO-42708,CONTACTOR 3P 32A 415V,PCS,Electrical,2100,2840,1936
SL-MRO-42754,RELAY THERMAL OVERLOAD 18-25A,PCS,Electrical,1120,1960,486
SL-MRO-42892,GASKET SPIRAL WOUND SS316 GRAPHITE 100NB CL150,PCS,Gaskets and seals,3400,640,2316
SL-MRO-42961,GASKET SPIRAL WOUND SS316 GRAPHITE 150NB CL150,PCS,Gaskets and seals,1800,980,1301
SL-MRO-43076,SEAL OIL 45X65X10 NBR,PCS,Gaskets and seals,4600,240,1975
SL-MRO-43191,MOTOR INDUCTION 3PH 10HP 415V B3 CROMPTON,PCS,Motors and drives,420,42000,384
SL-MRO-43260,MOTOR INDUCTION 3PH 25HP 415V B3,PCS,Motors and drives,210,86000,116
SL-MRO-43375,PUMP CENTRIFUGAL 50X32 15KW,PCS,Motors and drives,92,124000,75
SL-MRO-43398,GEARBOX HELICAL RATIO 20,PCS,Motors and drives,74,68000,42
SL-MRO-43490,PRESSURE GAUGE DIAL 100MM 0-10BAR SS316,PCS,Instruments,1260,2400,813
SL-MRO-43605,THERMOCOUPLE K 6MM 500MM SS316,PCS,Instruments,880,3800,756
SL-MRO-43674,SWITCH LEVEL FLOAT SS316,PCS,Instruments,380,6200,328
SL-MRO-43766,ANGLE MILD STEEL 50X50X6 IS 2062,KG,Structural steel,420000,68,349922
SL-MRO-43858,PLATE MILD STEEL 10MM IS 2062,KG,Structural steel,380000,72,330254
SL-MRO-43927,BEAM MILD STEEL ISMB 200 IS 2062,KG,Structural steel,260000,71,174728
SL-MRO-44019,HELMET SAFETY IS 2925,PCS,Safety and PPE,46000,340,36798
SL-MRO-44065,GLOVES LEATHER HAND IS 6994,PCS,Safety and PPE,94000,120,84773
SL-MRO-44203,SHOES SAFETY LEATHER IS 15298,PCS,Safety and PPE,28000,1240,19886
SL-MRO-44295,OIL LUBRICATING VG46 210,LIT,Lubricants,26000,218,17064
SL-MRO-44364,OIL GEAR VG320 210,LIT,Lubricants,21000,264,14378
SL-MRO-44410,GREASE EP2 LITHIUM 18,KG,Lubricants,12400,310,5148
SL-MRO-44548,ELECTRODE WELDING E6013 3.15MM,KG,Welding,62000,96,31267
SL-MRO-44617,ELECTRODE WELDING E7018 4MM,KG,Welding,44000,128,26203
SL-MRO-44686,WIRE MIG ER70S-6 1.2MM,KG,Welding,38000,112,30203
SL-MRO-44801,GASKET NON ASBESTOS 3MM 100NB CL150,PCS,Gaskets and seals,2800,194,2258
SL-MRO-44824,HELMET SAFETY WHITE RATCHET IS 2925,PCS,Safety and PPE,21000,365,13820
SL-MRO-44893,PRESSURE GAUGE DIAL 100MM 0-10BAR SS316 GLYCERINE FILLED,PCS,Instruments,620,2760,312
SL-MRO-45031,ALARM SOUNDER ELECTRONIC 230V IP65,PCS,Electrical,210,2400,178
SL-MRO-45077,STRIP GROUNDING COPPER 25X3,RMT,Electrical,1800,640,1196
SL-MRO-45238,FILTER Y TYPE CARBON STEEL 50NB CL150,PCS,Valves and fittings,96,4600,53
SL-MRO-45261,BUSH GUNMETAL 50MM,PCS,Gaskets and seals,460,890,413
SL-MRO-45399,PLATE DURBAR MILD STEEL 5MM IS 3502,KG,Structural steel,46000,74,39040
SL-MRO-45468,WASTE COTTON WHITE BALE 50KG,KG,Safety and PPE,24000,68,22978
SL-MRO-45537,OIL INSULATING INHIBITED IS 12463,LIT,Lubricants,11000,118,6662
SL-MRO-45652,BALL BEARING DEEP GROOVE 6202 2RS,PCS,Bearings,320,430,214
SL-MRO-45744,BALL BEARING DEEP GROOVE 6209 2RS,PCS,Bearings,600,770,522
SL-MRO-45836,BALL BEARING DEEP GROOVE 6305 2RS,PCS,Bearings,880,1110,715
SL-MRO-45905,PIPE SEAMLESS CARBON STEEL 15NB SCH40 IS 1239,RMT,Pipes and tubes,1200,180,889
SL-MRO-45997,PIPE SEAMLESS CARBON STEEL 40NB SCH40 IS 1239,RMT,Pipes and tubes,3760,1540,2353
SL-MRO-46089,PIPE SEAMLESS CARBON STEEL 250NB SCH40 IS 1239,RMT,Pipes and tubes,6320,2900,2944
SL-MRO-46158,TUBE SEAMLESS SS304 8MM OD,RMT,Pipes and tubes,620,465,508
SL-MRO-46250,TUBE SEAMLESS SS304 32MM OD,RMT,Pipes and tubes,1500,1045,1245
SL-MRO-46319,VALVE GATE WCB 25NB CL150 FLANGED IS 14846,PCS,Valves and fittings,90,3400,38
SL-MRO-46411,VALVE GATE WCB 150NB CL150 FLANGED IS 14846,PCS,Valves and fittings,310,22600,187
SL-MRO-46480,VALVE BALL SS316 15NB CL300 THREADED,PCS,Valves and fittings,140,2600,105
SL-MRO-46572,VALVE BALL SS316 40NB CL300 THREADED,PCS,Valves and fittings,460,8400,422
SL-MRO-46641,ELBOW SEAMLESS CARBON STEEL 90 25NB SCH40,PCS,Valves and fittings,320,240,174
SL-MRO-46733,ELBOW SEAMLESS CARBON STEEL 90 150NB SCH40,PCS,Valves and fittings,1080,2080,588
SL-MRO-46802,FLANGE CARBON STEEL 40NB CL150 WNRF IS 6392,PCS,Valves and fittings,700,1030,483
SL-MRO-46894,FLANGE CARBON STEEL 200NB CL150 WNRF IS 6392,PCS,Valves and fittings,1660,3470,1070
SL-MRO-46963,BOLT HEXAGONAL MILD STEEL M8X30 8.8 IS 1367,PCS,Fasteners,13200,19,6198
SL-MRO-47055,BOLT HEXAGONAL MILD STEEL M18X80 8.8 IS 1367,PCS,Fasteners,30000,63,26708
SL-MRO-47147,BOLT HEXAGONAL MILD STEEL M30X150 8.8 IS 1367,PCS,Fasteners,46800,107,28524
SL-MRO-47216,NUT HEXAGONAL MILD STEEL M10 8.8 IS 1363,PCS,Fasteners,18600,11,16821
SL-MRO-47308,NUT HEXAGONAL MILD STEEL M22 8.8 IS 1363,PCS,Fasteners,33800,27,32283
SL-MRO-47469,CABLE XLPE ARMOURED ALUMINIUM 3CX70 SQMM 1.1KV IS 7098,RMT,Electrical,6300,545,4148
SL-MRO-47561,CABLE XLPE ARMOURED ALUMINIUM 3CX300 SQMM 1.1KV IS 7098,RMT,Electrical,11500,1125,6819
SL-MRO-47630,CONTACTOR 3P 9A 415V,PCS,Electrical,240,980,157
SL-MRO-47722,CONTACTOR 3P 40A 415V,PCS,Electrical,880,2660,665
SL-MRO-47883,GASKET SPIRAL WOUND SS316 GRAPHITE 65NB CL150,PCS,Gaskets and seals,1780,555,1638
SL-MRO-47975,GASKET SPIRAL WOUND SS316 GRAPHITE 250NB CL150,PCS,Gaskets and seals,3300,1135,1926
SL-MRO-48044,SEAL OIL 35X52X7 NBR,PCS,Gaskets and seals,880,178,676
SL-MRO-48136,SEAL OIL 60X85X10 NBR,PCS,Gaskets and seals,1720,314,1428
SL-MRO-48205,MOTOR INDUCTION 3PH 3HP 415V B3,PCS,Motors and drives,92,38800,86
SL-MRO-48297,MOTOR INDUCTION 3PH 20HP 415V B3,PCS,Motors and drives,196,96800,176
SL-MRO-48458,PRESSURE GAUGE DIAL 100MM 0-25BAR SS316,PCS,Instruments,450,2170,320
SL-MRO-48619,ANGLE MILD STEEL 75X75X6 IS 2062,KG,Structural steel,64000,68,39211
SL-MRO-48780,OIL LUBRICATING VG150 210,LIT,Lubricants,9100,262,5609
SL-MRO-48849,ELECTRODE WELDING E6013 2.5MM,KG,Welding,2600,88,1201
SL-MRO-48918,WIRE MIG ER70S-6 0.8MM,KG,Welding,1800,104,1235
SL-MRO-48987,GLOVES COTTON KNITTED IS 6994,PCS,Safety and PPE,8400,90,6961
